Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose: 50% field application (0.675 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 80F/75%,,,,,,,,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,,,,,,,,
19,13,10,11,9,10,11,64,52.9%,10.67,,12,11,13,12,11,10,69,57.5%,11.50,,,,,,,,
20,13,8,11,9,10,11,62,51.2%,10.33,,11,9,12,12,11,10,65,54.2%,10.83,,,,,,,,
21,12,8,11,4,10,11,56,46.3%,9.33,,10,7,11,11,9,8,56,46.7%,9.33,,,,,,,,
22,11,8,9,4,7,9,48,39.7%,8.00,,5,6,7,8,6,5,37,30.8%,6.17,,,,,,,,
23,11,4,9,4,6,9,43,35.5%,7.17,,3,1,5,7,4,5,25,20.8%,4.17,,,,,,,,
24,11,3,6,4,5,9,38,31.4%,6.33,,1,0,3,4,2,4,14,11.7%,2.33,,,,,,,,
25,8,3,6,1,5,6,29,24.0%,4.83,,1,0,1,3,2,2,9,7.5%,1.50,,,,,,,,
26,5,3,3,1,3,5,20,16.5%,3.33,,1,0,1,2,0,2,6,5.0%,1.00,,,,,,,,
27,5,2,3,1,3,4,18,14.9%,3.00,,1,0,1,2,0,2,6,5.0%,1.00,,,,,,,,
28,5,2,3,1,3,4,18,14.9%,3.00,,0,0,0,0,0,1,1,0.8%,0.17,,,,,,,,
29,2,2,3,1,2,4,14,11.6%,2.33,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
30,1,1,2,1,1,4,10,8.3%,1.67,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
31,1,1,1,0,1,2,6,5.0%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
32,1,1,1,0,1,2,6,5.0%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
33,1,0,1,0,1,1,4,3.3%,0.67,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
34,0,0,0,0,0,1,1,0.8%,0.17,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
35,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
36,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
37,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
38,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
39,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
40,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,control,,,,,,,treatment,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,total,1,2,3,4,5,6,total,,,,,,,,,,,,,
# Release in CIA (clear chamber),20,20,20,20,20,21,121,20,20,20,20,20,20,120,,,,,,,,,,,,,
# KD / Metal chamber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
